question,answer
 اگر فقیهی دارای علومی غیر از فقه و اصولباشد سبب ترجیح او در مقام تقلید می‌شود؟, دارا بودن علومی دیگر غیر از فقه و اصول سبب ترجیح فقیهی بر فقیه دیگر نمی‌شود مگر علومی که در فهم احکام یا تنقیح موضوعات، مؤثر بوده باشد.
 آیا می‌توان از مجتهد مرده تقلید نمود؟, احتیاط ترک تقلید ابتدایی میت است اما بقای بر تقلید میت در مسائلی که عمل کرده یا اخذ فتوا برای عمل نموده جایز است.
 کسی که بدون اجازه مجتهد زنده به تقلید میت باقی مانده است اعمالی که انجام داده چه حکمی دارد؟, حال باید از مجتهد زنده در مسأله بقای بر تقلید میت، تقلید کند چنانچه فتوای مرجع فعلی او جواز بر بقا باشد اعمال سابق او صحیح است.
 در چه مسائلی می‌توان به فتوای مجتهدی که از دنیا رفته عمل نمود؟, تنها در مسائلی می‌تواند باقی بماند که به آن عمل کرده باشد.
 تفاوت بین فتوا و حکم از کجا سرچشمه می‌گیرد که فتوا فقط بر مقلدین لازم العمل است اما حکم بر جمیع افراد؟ اگر دو فقیه احکام مختلف دهند چه وضعی پیش می‌آید؟ اصلا فقیهی که حاکمیت عامه ندارد آیا حکمش بر امت نافذ است؟, به کتاب «أنوار الفقاهة» ما مراجعه نمایید.
 آیا در این عصر که مسائل و مشکلات زندگی انسانها بسیار گسترده و پیچیده شده و قدرت یافتن بر استنباط احکام این مسائل نیاز به احاطه بر علوم و اطلاعات گسترده‌ای دارد کسی می‌تواند به رتبه اجتهاد مطلق نائل شود؟, البته امکان پذیر است و بهترین دلیل بر امکان، وقوع آن است که ما در حوزه‌های علمیهشاهد و ناظر آن هستیم.
 اگر مرجع تقلید یا مجتهدی احساس کند که شرایط مرجعیت یا اجتهاد را از دست داده آیا لازم است که اعلام کند؟, لازم است اعلام کند.
 اگر انسان بتواند تشخیص دهد که فلان مرجع از نظر مبانی اصولی قویتر است آیا این تشخیص، در اعلم بودن آن مرجع دخیل است؟, اعلم بودن تنها به آگاهی و اعلمیت در علم اصول حاصل نمی‌شود بلکه شرایط دیگری نیز دارد.
 آیا کسی که می‌خواهد عمل به احتیاط بنماید می‌تواند مثلا احتیاطات بیع را از فلان مرجع و احتیاطات صلاه را از مرجع دیگر اخذ کند؟, اگر منظور پیروی کردن در اخذ طریقه احتیاط از دو مجتهدی که هر دو مساوی در فقاهت باشند بوده باشد مانعی ندارد.
 آیا کسی که عمل به احتیاط می‌کند باید احکام صادره از مجتهدین میت را هم لحاظ دارد؟, اگر مقصودش احتیاط مطلق است باید همه اقوال را ببیند و اگر هدفش احتیاط بین محتمل المرجعیه هاست، تنها آگاهی از اقوال علمای زنده برای او کافی است.
 آیا تصریح به جواز عمل به رساله که معمولا در ابتدای رساله هانوشته می‌شود به معنای نفی دیگران است؟ و آیا مردم نسبت به مرجعی که ناشناخته مانده چون قدرت بیان نداشته است مسئول هستند؟, الف) تصریح به جواز عمل به رساله، دلیل بر نفی دیگران نیست، بلکه ممکن است دیگران هم در شرایط مساوی و هر دو یا هر چند نفر جایز التقلید باشند. آری اگر کسی در اول رساله خود بنویسد عمل به این رساله متعین است و عمل به غیرآن جایز نیست مفهومش نفی دیگران است در حالی که هرگز ندیده‌ایم احدی در مقدمه رساله چنین چیزی بنویسد. ب) درست است که قدرت بیان باعث معرفی شخص است اما اگر کسی بیانی نداشت و مقام علمی او مجهول ماند و بعد از فحص نیز مقام علمی او روشن نشد مردم نسبت به او وظیفه‌ای ندارند، مانند گنجی است که شناخته نشده و کسی در برابر آن گنج وظیفه‌ای ندارد.
 چنانچه بین قانون مصوب و لازم الاجرای جمهوری اسلامی (که از کلیه مراحل تصویب مجلس و تأیید شورای نگهبان و غیره گذشته است) با فتوای مراجع تقلید تفاوت وجود داشته باشد وظیفه قاضی مقلد چیست؟, قاضی اگر مجتهد باشد به رأی خود حکم می‌کند و اگر بر اثر ضرورتها غیر مجتهد برای منصب قضا نصب شود به رأی مرجع تقلید خود عمل خواهد کرد و در تعارض قوانین حکومت اسلامی با رأی مرجع تقلید چنانچه عمل به احتیاط ممکن باشد اولی عمل به احتیاط است و اگر ممکن نباشد یا موجب ضرر و زیان و عسر و حرج گردد، قوانین حکومت اسلامی در مسائل عمومی و اجتماعی مقدم است و در مسائل خصوصی باید به رای مرجع خود عمل کند.
 چنانچه پاسخ سؤال پیش این باشد که از بین قانون و فتوای معارض با هم حتما باید به فتوای مرجع تقلید عمل نمود، بنابراین مرقوم بفرمایید که فلسفه ولایت فقیه و تشکیل حکومت اسلامی و فلسفه تشکیل قوه مقننه و وضعقانون چیست؟ و اگر پاسخ سؤال این است که باید بر طبق قانون عمل کرد بنابراین فلسفه تقلید وفلسفه وجودی مراجع تقلید چیست؟ و چه آثاری بر آن مترتب است و صدور فتوا از ناحیه آنان در ابواب مختلف فقهی که قانون نیز در مورد آنها وجود دارد چه فایده‌ای خواهد داشت؟, از آنچه در پاسخ سؤال قبل گفته شد هم فلسفه وجودی حکومت و هم فلسفه مرجعیت روشن می‌شود.
 مستدعی است تعیین فرمایید احتیاطات حضرت عالی را به کدام یک از مراجع عظام مراجعه نماییم؟, می‌توانید به یکی از مراجع معروف در محافل علمی مراجعه فرمایید.
 شخصی ده سال بدون تقلید عبادت می‌کند، عبادتش چگونه است؟, باید هم اکنون تقلید کند و آنچه مطابق دستور مرجع فعلی او واقع شده صحیح است و غیر آن را باید اعاده کند.
 آیا انتشار رساله توسط مجتهدی به معنای این است که او خود را از دیگران اعلم می‌داند؟, چنین دلالتی ندارد.
 در رساله‌های عملیه نوشته شده است که از باید مجتهد اعلم تقلید کرد، از آن جایی که تشخیص و تعیین فرد اعلم در میان مجتهدین برای اهل علم و خبره مشکل و برای عوام محال و ممتنع است، آیا می‌توان در مسائل مورد اختلاف به جای تقلید از یک شخص معین، رأی اکثریت را ملاک عمل قرار داد؟, رأی اکثریت کافی نیست، اگر اعلم ثابت است باید در مسائل اختلافی از او تقلید کرد و اگر ثابت نیست مردم مخیر هستند.
 کسانی که مجتهد نیستند واجب است در مسائل شرعی و احکام غیر ضروری دین از دستورات مجتهد جامع الشرایط تقلید کنند، آیا در مسائل سیاسی وحکومتی نیز چنین است مثلا در نظامجمهوری اسلامی ایران آیا اطاعت از قوانین و مقررات دولت که به تصویب مجلس شورای اسلامی و تأیید شورای نگهبان رسیده، واجب شرعی است؟, باید از قوانینی که در بالا شرح دادید تخلف نکنند.
 شخصی پس از فوت مرجع تقلیدش از مجتهدی تقلید نموده، ولی قبل از عمل به فتوای آن مجتهد مجددا از مرجع قبلی که فوت نموده تقلید کرده است، آیا عدول با توصیف فوق الذکر جایز می‌باشد؟ با در نظر گرفتن اینکه در بعضی از مسائل از جمله در مسائل تقلید، مقلد همین مجتهد زنده می‌باشد., چنانچه مجتهد زنده اعلم بوده، عدولش صحیح و بازگشت از آن جایز نیست و اگر میت اعلم بوده، تقلیدش از مجتهد زنده در موارد علم اجمالی یا تفصیلی به اختلاف جایز نبوده است.
 اگر بر انسان طبق فتوای مرجع قبلی خود، احکامی از قبیل خمس و غیره واجب و یا بعضی از اعمالش باطل و یا مشکوک به نظر برسد، ولی طبق فتوای مرجع فعلی اعمالش صحیح و یا خمس و غیره واجب نباشد، لطفا مرقوم فرمایید آیا می‌تواند طبق فتوای مرجع بعدی خود عمل و در نتیجه اعمالش صحیح و خمس و امثال آن را پرداخت ننماید؟, خالی از اشکال نیست.
