question,answer
 لطفا در مورد بلوغ دختران، به سؤالات زیر پاسخ فرمائید: الف: سن بلوغ دختران از نظر شرعى دقیقا چه مقدار است؟ ب: آیا براى دختران از حیث بلوغ مى توان بین عبادات و عقود و ایقاعات (۱) تفاوتى قائل شد؟ حدود و قصاص در چه سنى اجرا مى شود؟, سن بلوغ دختران نه سال تمام قمرى است و اگر سال شمسى را در دست دارند از طریق کامپیوتر براحتى تبدیل به سال قمرى مى شود; ولى چنانچه از نظر نیروى جسمانى، قدرت انجام بعضى از تکالیف، مانند روزه را نداشته باشند، روزه بر آنها واجب نیست و بجاى هر روز، کفاره مد طعام (۷۵۰ گرم گندم یا مانند آن) به فقیر مى دهند. و در مورد عقود و ایقاعات مالى معیار تنها بلوغ نیست; بلکه رشد عقلى نیز لازم است. و در موردحدود و قصاص، همانند سایر مکلفین با آنها رفتار خواهد شد، مگر این که عقل کافى، که یکى از شرایط چهارگانه حدود و قصاص است، نداشته باشند. و در مورد ازدواج علاوه بر بلوغ و رشد عقلى، رشد جسمانى براى این امر نیز لازم است; یعنى اگر خطر افضاء وجود داشته باشد، ازدواج جایز نیست. بنابراین بلوغ در چهار مرحله پیاده مى شود.
 آیا دیدن خون حیض براى دختران، از نشانه هاى بلوغ شمرده مى شود؟, آرى، از علائم بلوغ است.
 مى دانیم که انجام عبادات قبل از سن بلوغ بر انسان واجب نیست، ولى آیا قبل از بلوغ هیچ تکلیفى ندارد؟ یا برخى مسائل وجود دارد که سن بلوغ در آن معتبر نیست؟ اگر ,جواب مثبت است، موارد آن را بیان فرمائید. هرگاه دختران و پسران نابالغ هوشیارى کافى براى درک خوبى و بدى
 آیا رشد جسمانى، مانند افزایش طول قد، بزرگ شدن پستانها، باسن‌ها و مانند آن، علامت بلوغ (دختران) محسوب مى شود؟, این علائم کافى نیست.
 خداونددخترى به من عنایت کرده که اکنون کلاس اول ابتدایى است، بسیار علاقه دارم که او دخترى متدین و عفیف تربیت شود. بدین جهت نسبت به مسائل تربیتى و عبادى او حساسیت خاصى دارم. در این رابطه دو سؤال برایم مطرح شده است، پاسخ آن موجب امتنان است: الف: آیا عبادتهاى دختران در این سن و سال (قبل از بلوغ) صحیح است؟ ب: بطور کلى از چه سنى دخترانمان را به انجام عبادات ترغیب و تشویق کنیم؟, هر زمان که هوشیارى کافى براى انجام عبادات داشته باشند، اعمالشان صحیح و تشویق آنها بسیار خوب است.
 چرا سن بلوغ دختران، کمتر از سن بلوغ پسران است؟, رشد فکرى و جسمى دختران سریعتر از رشد پسران صورت مى گیرد.
 وظیفه دخترى که شک دارد به سن بلوغ رسیده یا نه، چیست؟ آیا در این حال انجام تکالیف شرعى بر او لازم است؟, واجب نیست; ولى اگر امکان تحقیق دارد، تحقیق کند.
 هرگاه دخترى قبل از نه سالگى عادت ماهانه شود، آیا بالغ محسوب مى گردد؟, آنچه قبل از نه سالگى باشد عادت ماهانه محسوب نمى شود، هرچند داراى همان صفات بوده باشد، بنابراین نشانه بلوغ نیست. <H۲ class=content_h۲>۲- احکام تقلید</H۲>مقدمهشاید برخى از خود بپرسند که در عصر و زمان ما، که بشر در همه زمینه‌ها ترقى و پیشرفت خیره کننده اى داشته و به ابزار و وسائل فوق العاده مدرن دست یافته، به گونه اى که به حق مى توان این عصر را «عصر تحقیق و کنکاش و علم و دانش» لقب داد، آیا با همه این امور، تقلید در عصر و زمانما امر مطلوبى است؟ آیا تقلید به معناى بسته نمودن دروازه هاى تحقیق به روى محققان نیست؟ آیا «پیروى چشم و گوش بسته» از دیگران، با روح آیات فراوانى از قرآن مجید، که انسان را به تفکر و اندیشه و مطالعه و تحقیق دعوت مى کند، سازگارى دارد؟ براى روشن شدن این «شبهه» لازم است توضیح کوتاهى پیرامون اقسام تقلید داشته باشیم: تقلید و پیروى از دیگران از چهار صورت خارج نیست: الف: تقلید جاهل از عالم; یعنى کسى که چیزى نمى داند از متخصص و آگاه آن فن پیروى کند، همچون مراجعه بیمار ناآگاه از مسائل پزشکى، به پزشک آگاه و دلسوز. ب: تقلید عالم از عالمى دیگر; یعنى مراجعه اهل فن به یکدیگر و پیروى بعضى از بعضى دیگر. ج: تقلید عالم از جاهل; بدین معنى که یک انسان آگاه، علم و دانش خود را رها کند و چشم و گوش بسته به دنبال جاهلان بیفتد! د: تقلید جاهل از جاهل; که گروهى نادان، پیرو گروه نادان دیگرى شوند. روشن است که از این چهار قسم، تنها قسم اول منطقى و عاقلانه و مشروع است و نه تنها در عصر تحقیق و علم و دانش، از آن بى نیاز نیستیم، بلکه بخاطر گسترش فراوان علوم، نیاز به آن بیشتر احساس مى شود. بله، سه قسم دیگر تقلید منطقى و مورد پذیرش اسلام نیست. و تقلید در احکام از قسم اول است. (۱) با عنایت به این مقدمه، به برخى از احکام تقلید توجه فرمائید: مسأله ۱۱: یکى از شرایط مرجع تقلید این است که مرد باشد; بنابراین، زنان نمى توانند مرجع تقلید دیگران، حتى زنان، باشند.
 چرا زنان نمى توانند در مسائل مختلف، بویژه در مسائل مخصوص به خانمها، مانند خونهاى سه گانه، مرجع تقلید باشند؟ آیا بهتر نیست زنان از خانمى که در این راه زحمت فراوان کشیده و صاحب نظر شده تقلید کنند؟, جایز نیست، زیرا کمتر اتفاق مى افتد که آنها بر فقهاى بزرگ مرد در مسائل شرعى پیشى گیرند.
 آیا زنان مى توانند علوم اسلامى را تحصیل کنند و به مقام رفیع و بلند اجتهاد، که به تعبیر بعضى از فقهاى بزرگ از جنگ و جهاد سخت‌تر است، برسند؟, مانعى ندارد و ممکن است به مقام اجتهاد برسند.
 اگر خانمى به مقام اجتهاد برسد، آیا تقلید بر او نیز حرام است؟, در این مسأله فرقى میان مرد و زن نیست.
 دخترى هستم که تازه به سن تکلیف رسیده‌ام، اخیرا در دبستان برایمان مراسم جشن تکلیف گرفتند. معلم ما در مورد تقلید یکى از مراجع معظمتقلید را نام برد و همه بچه هاى کلاس مقلد او شدند. آیا تقلید ما صحیح است؟ یا باید تحقیق مى کردیم و سپس یکى از مراجع را انتخاب مى نمودیم؟, اگر گفته معلم براى شما اطمینان بخش بوده کافى است، و اگر نبوده تحقیق کنید.
