question,answer
 لطفاً در مورد بلوغ دختران، به سؤالات زير پاسخ فرمائيد:الف: سنّ بلوغ دختران از نظر شرعى دقيقاً چه مقدار است؟ب: آيا براى دختران از حيث بلوغ مى توان بين عبادات و عقود و ايقاعات(1)تفاوتى قائل شد؟ حدود و قصاص در چه سنّى اجرا مى شود؟, سنّ بلوغ دختران نه سال تمام قمرى است و اگر سال شمسى را در دست دارند از طريق كامپيوتر براحتى تبديل به سال قمرى مى شود; ولى چنانچه از نظر نيروى جسمانى، قدرت انجام بعضى از تكاليف، مانند روزه را نداشته باشند، روزه بر آنها واجب نيست و بجاى هر روز، كفّاره مدّ طعام (750 گرم گندم يا مانند آن) به فقير مى دهند. و در مورد عقود و ايقاعات مالى معيار تنها بلوغ نيست; بلكه رشد عقلى نيز لازم است. و در موردحدود و قصاص، همانند ساير مكلّفين با آنها رفتار خواهد شد، مگر اين كه عقل كافى، كه يكى از شرايط چهارگانه حدود و قصاص است، نداشته باشند.و در مورد ازدواج علاوه بر بلوغ و رشد عقلى، رشد جسمانى براى اين امر نيز لازم است; يعنى اگر خطر افضاء وجود داشته باشد، ازدواج جايز نيست.بنابراين بلوغ در چهار مرحله پياده مى شود.
 آيا ديدن خون حيض براى دختران،از نشانه هاى بلوغ شمرده مى شود؟, آرى، از علائم بلوغ است.
 مى دانيم كه انجام عبادات قبل از سنّ بلوغ بر انسان واجب نيست، ولى آيا قبل از بلوغ هيچ تكليفى ندارد؟ يا برخى مسائل وجود دارد كه سنّ بلوغ در آن معتبر نيست؟ اگر ,جواب مثبت است، موارد آن را بيان فرمائيد. هرگاه دختران و پسران نابالغ هوشيارى كافى براى درك خوبى و بدى
 آيا رشد جسمانى، مانند افزايش طول قد، بزرگ شدن پستانها، باسن ها و مانند آن، علامت بلوغ (دختران) محسوب مى شود؟, اين علائم كافى نيست.
 خداونددخترى به من عنايت كرده كه اكنون كلاس اوّل ابتدايى است، بسيار علاقه دارم كه او دخترى متديّن و عفيف تربيت شود. بدين جهت نسبت به مسائل تربيتى و عبادى او حسّاسيّت خاصّى دارم. در اين رابطه دو سؤال برايم مطرح شده است، پاسخ آن موجب امتنان است:الف: آيا عبادتهاى دختران در اين سنّ و سال (قبل از بلوغ) صحيح است؟ب: بطور كلى از چه سنّى دخترانمان را به انجام عبادات ترغيب و تشويق كنيم؟, هر زمان كه هوشيارى كافى براى انجام عبادات داشته باشند، اعمالشان صحيح و تشويق آنها بسيار خوب است.
 چرا سنِّ بلوغِ دختران، كمتر از سنِّ بلوغِ پسران است؟, رشد فكرى و جسمى دختران سريعتر از رشد پسران صورت مى گيرد.
 وظيفه دخترى كه شك دارد به سنّ بلوغ رسيده يا نه، چيست؟آيا در اين حال انجام تكاليف شرعى بر او لازم است؟, واجب نيست; ولى اگر امكان تحقيق دارد، تحقيق كند.
 هرگاه دخترى قبل از نُه سالگى عادت ماهانه شود، آيا بالغ محسوب مى گردد؟, آنچه قبل از نُه سالگى باشد عادت ماهانه محسوب نمى شود، هرچند داراى همان صفات بوده باشد، بنابراين نشانه بلوغ نيست.<H2 class=content_h2>2- احكام تقليد</H2>مقدّمهشايد برخى از خود بپرسند كه در عصر و زمان ما، كه بشر در همه زمينه ها ترقّى و پيشرفت خيره كننده اى داشته و به ابزار و وسائل فوق العاده مدرن دست يافته، به گونه اى كه به حق مى توان اين عصر را «عصر تحقيق و كنكاش و علم و دانش» لقب داد، آيا با همه اين امور، تقليد در عصر و زمانما امر مطلوبى است؟آيا تقليد به معناى بسته نمودن دروازه هاى تحقيق به روى محقّقان نيست؟آيا «پيروى چشم و گوش بسته» از ديگران، با روح آيات فراوانى از قرآن مجيد، كه انسان را به تفكّر و انديشه و مطالعه و تحقيق دعوت مى كند، سازگارى دارد؟براى روشن شدن اين «شُبهه» لازم است توضيح كوتاهى پيرامون اقسام تقليد داشته باشيم:تقليد و پيروى از ديگران از چهار صورت خارج نيست:الف: تقليد جاهل از عالم; يعنى كسى كه چيزى نمى داند از متخصّص و آگاه آن فن پيروى كند، همچون مراجعه بيمار ناآگاه از مسائل پزشكى، به پزشك آگاه و دلسوز.ب: تقليد عالم از عالمى ديگر; يعنى مراجعه اهل فن به يكديگر و پيروى بعضى از بعضى ديگر.ج: تقليد عالم از جاهل; بدين معنى كه يك انسان آگاه، علم و دانش خود را رها كند و چشم و گوش بسته به دنبال جاهلان بيفتد!د: تقليد جاهل از جاهل; كه گروهى نادان، پيرو گروه نادان ديگرى شوند.روشن است كه از اين چهار قسم، تنها قسم اوّل منطقى و عاقلانه و مشروع است و نه تنها در عصر تحقيق و علم و دانش، از آن بى نياز نيستيم، بلكه بخاطر گسترش فراوان علوم، نياز به آن بيشتر احساس مى شود. بله، سه قسم ديگر تقليد منطقى و مورد پذيرش اسلام نيست. و تقليد در احكام از قسم اوّل است.(1)با عنايت به اين مقدّمه، به برخى از احكام تقليد توجّه فرمائيد:مسأله 11: يكى از شرايط مرجع تقليد اين است كه مرد باشد; بنابراين، زنان نمى توانند مرجع تقليد ديگران، حتّى زنان، باشند.
 چرا زنان نمى توانند در مسائل مختلف،بويژه در مسائل مخصوص به خانمها، مانند خونهاى سه گانه، مرجع تقليد باشند؟ آيا بهتر نيست زنان از خانمى كه در اين راه زحمت فراوان كشيده و صاحب نظر شده تقليد كنند؟, جايز نيست، زيرا كمتر اتّفاق مى افتد كه آنها بر فقهاى بزرگ مرد در مسائل شرعى پيشى گيرند.
 آيا زنان مى توانند علوم اسلامى را تحصيل كنند و به مقام رفيع و بلند اجتهاد، كه به تعبير بعضى از فقهاى بزرگ از جنگ و جهاد سخت تر است، برسند؟, مانعى ندارد و ممكن است به مقام اجتهاد برسند.
 اگر خانمى به مقام اجتهاد برسد، آيا تقليد بر او نيز حرام است؟, در اين مسأله فرقى ميان مرد و زن نيست.
 دخترى هستم كه تازه به سنّ تكليف رسيده ام، اخيراً در دبستان برايمان مراسم جشن تكليف گرفتند. معلّم ما در مورد تقليد يكى از مراجع معظّمتقليد را نام برد و همه بچه هاى كلاس مقلّد او شدند. آيا تقليد ما صحيح است؟ يا بايد تحقيق مى كرديم و سپس يكى از مراجع را انتخاب مى نموديم؟, اگر گفته معلّم براى شما اطمينان بخش بوده كافى است، و اگر نبوده تحقيق كنيد.
 سؤالى برايم پيش آمده، كه فكر مى كنم مشكل بسيارى از خانمها باشد، و آن بدين شرح است: چندى پيش مرجع تقليدم به رحمت خدا رفت، در فكر انتخاب مرجع تقليد جديد فرو رفتم، شوهرم رساله يكى از مراجع جديد را تهيّه و به منزل آورد، و من هم طبق همان رساله عمل كردم.آيا انتخاب مرجع تقليد به اين شكل صحيح است؟, در صورتى كه از تحقيق شوهرتان براى شما اطمينان حاصل شده است كافى است، در غير اين صورت بايد تحقيق كنيد.
