question,answer
 اگر فقيهي داراي علومي غير از فقه و اصولباشد سبب ترجيح او در مقام تقليد مي شود؟, دارا بودن علومي ديگر غير از فقه و اصول سبب ترجيح فقيهي بر فقيه ديگر نمي شود مگر علومي كه در فهم احكام يا تنقيح موضوعات، مؤثّر بوده باشد.
 آيا مي توان از مجتهد مرده تقليد نمود؟, احتياط ترك تقليد ابتدايي ميّت است اما بقاي بر تقليد ميّت در مسائلي كه عمل كرده يا اخذ فتوا براي عمل نموده جايز است.
 كسي كه بدون اجازه مجتهد زنده به تقليد ميّت باقي مانده است اعمالي كه انجام داده چه حكمي دارد؟, حال بايد از مجتهد زنده در مسأله بقاي بر تقليد ميّت، تقليد كند چنانچه فتواي مرجع فعلي او جواز بر بقا باشد اعمال سابق او صحيح است.
 در چه مسائلي مي توان به فتواي مجتهدي كه از دنيا رفته عمل نمود؟, تنها در مسائلي مي تواند باقي بماند كه به آن عمل كرده باشد.
 تفاوت بين فتوا و حكم از كجا سرچشمه مي گيرد كه فتوا فقط بر مقلّدين لازم العمل است اما حكم بر جميع افراد؟ اگر دو فقيه احكام مختلف دهند چه وضعي پيش مي آيد؟ اصلا فقيهي كه حاكميّت عامّه ندارد آيا حكمش بر امّت نافذ است؟, به كتاب «أنوار الفقاهة» ما مراجعه نماييد.
 آيا در اين عصر كه مسائل و مشكلات زندگي انسانها بسيار گسترده و پيچيده شده و قدرت يافتن بر استنباط احكام اين مسائل نياز به احاطه بر علوم و اطّلاعات گسترده اي دارد كسي مي تواند به رتبه اجتهاد مطلق نائل شود؟, البتّه امكان پذير است و بهترين دليل بر امكان، وقوع آن است كه ما در حوزه هاي علميّهشاهد و ناظر آن هستيم.
 اگر مرجع تقليد يا مجتهدي احساس كند كه شرايط مرجعيّت يا اجتهاد را از دست داده آيا لازم است كه اعلام كند؟, لازم است اعلام كند.
 اگر انسان بتواند تشخيص دهد كه فلان مرجع از نظر مباني اصولي قويتر است آيا اين تشخيص، در اعلم بودن آن مرجع دخيل است؟, اعلم بودن تنها به آگاهي و اعلميّت در علم اصول حاصل نمي شود بلكه شرايط ديگري نيز دارد.
 آيا كسي كه مي خواهد عمل به احتياط بنمايد مي تواند مثلا احتياطات بيع را از فلان مرجع و احتياطات صلاه را از مرجع ديگر اخذ كند؟, اگر منظور پيروي كردن در اخذ طريقه احتياط از دو مجتهدي كه هر دو مساوي در فقاهت باشند بوده باشد مانعي ندارد.
 آيا كسي كه عمل به احتياط مي كند بايد احكام صادره از مجتهدين ميّت را هم لحاظ دارد؟, اگر مقصودش احتياط مطلق است بايد همه اقوال را ببيند و اگر هدفش احتياط بين محتمل المرجعيّه هاست، تنها آگاهي از اقوال علماي زنده براي او كافي است.
 آيا تصريح به جواز عمل به رساله كه معمولا در ابتداي رساله هانوشته مي شود به معناي نفي ديگران است؟ و آيا مردم نسبت به مرجعي كه ناشناخته مانده چون قدرت بيان نداشته است مسئول هستند؟, الف) تصريح به جواز عمل به رساله، دليل بر نفي ديگران نيست، بلكه ممكن است ديگران هم در شرايط مساوي و هر دو يا هر چند نفر جايز التّقليد باشند. آري اگر كسي در اوّل رساله خود بنويسد عمل به اين رساله متعيّن است و عمل به غيرآن جايز نيست مفهومش نفي ديگران است در حالي كه هرگز نديده ايم احدي در مقدمه رساله چنين چيزي بنويسد.ب) درست است كه قدرت بيان باعث معرفي شخص است امّا اگر كسي بياني نداشت و مقام علمي او مجهول ماند و بعد از فحص نيز مقام علمي او روشن نشد مردم نسبت به او وظيفه اي ندارند، مانند گنجي است كه شناخته نشده و كسي در برابر آن گنج وظيفه اي ندارد.
 چنانچه بين قانون مصوّب و لازم الاجراي جمهوري اسلامي (كه از كلّيه مراحل تصويب مجلس و تأييد شوراي نگهبان و غيره گذشته است) با فتواي مراجع تقليد تفاوت وجود داشته باشد وظيفه قاضي مقلّد چيست؟, قاضي اگر مجتهد باشد به رأي خود حكم مي كند و اگر بر اثر ضرورتها غير مجتهد براي منصب قضا نصب شود به رأي مرجع تقليد خود عمل خواهد كرد و در تعارض قوانين حكومت اسلامي با رأي مرجع تقليد چنانچه عمل به احتياط ممكن باشد اولي عمل به احتياط است و اگر ممكن نباشد يا موجب ضرر و زيان و عسر و حرج گردد، قوانين حكومت اسلامي در مسائل عمومي و اجتماعي مقدم است و در مسائل خصوصي بايد به راي مرجع خود عمل كند.
 چنانچه پاسخ سؤال پيش اين باشد كه از بين قانون و فتواي معارض با هم حتما بايد به فتواي مرجع تقليد عمل نمود، بنابراين مرقوم بفرماييد كه فلسفه ولايت فقيه و تشكيل حكومت اسلامي و فلسفه تشكيل قوّه مقننه و وضعقانون چيست؟ و اگر پاسخ سؤال اين است كه بايد بر طبق قانون عمل كرد بنابراين فلسفه تقليد وفلسفه وجودي مراجع تقليد چيست؟ و چه آثاري بر آن مترتّب است و صدور فتوا از ناحيه آنان در ابواب مختلف فقهي كه قانون نيز در مورد آنها وجود دارد چه فايده اي خواهد داشت؟, از آنچه در پاسخ سؤال قبل گفته شد هم فلسفه وجودي حكومت و هم فلسفه مرجعيّت روشن مي شود.
